,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Beta5[9],-0.224,0.604,-1.363,0.888,0.004,0.003,19881,19881,19884,20215,
Beta5[10],0.171,0.475,-0.723,1.064,0.003,0.002,20067,19724,20076,19712,
Beta5[11],0.033,1.065,-1.993,2.028,0.008,0.005,18785,18785,18789,19217,
Beta5[12],0.007,1.077,-2.066,1.978,0.008,0.005,20193,19708,20203,19551,
Beta5[13],-0.004,1.074,-2.029,1.987,0.008,0.006,18554,18554,18579,19918,
Beta5[14],0.006,1.08,-2.039,1.999,0.008,0.005,20082,19855,20083,19639,
Beta5[15],0.005,1.08,-1.997,2.052,0.008,0.005,20044,20012,20049,20044,
Beta5[16],0.019,1.081,-2.018,2.019,0.008,0.006,20133,19166,20120,19551,
Beta5[17],0.005,1.06,-1.981,1.999,0.008,0.005,19559,19343,19559,19962,
Beta5[18],-0.012,1.086,-2.021,2.05,0.008,0.005,20207,20207,20212,19654,
Beta5[19],0.016,1.071,-1.972,2.06,0.008,0.005,19626,19384,19628,19039,
Beta5[20],0.003,1.075,-2.07,1.973,0.008,0.005,20145,20078,20144,20131,
Beta5[21],-0.036,1.08,-2.026,2.027,0.008,0.006,19274,19274,19279,19125,
Beta5[22],-0.003,1.086,-2.027,2.047,0.008,0.006,18779,18779,18819,19212,
Beta5[23],-0.022,1.077,-2.047,1.988,0.008,0.005,19472,19472,19479,19481,
Beta5[24],-0.005,1.073,-1.889,2.152,0.008,0.005,19247,19247,19259,19641,
Beta5[25],-0.018,1.09,-2.1,2.026,0.008,0.005,19679,19679,19674,19429,
Beta5[26],0.01,1.078,-1.985,2.07,0.008,0.005,20304,19543,20301,19594,
Beta5[27],0.024,1.056,-1.944,2.027,0.008,0.005,19792,19792,19797,18557,
Beta5[28],0,1.081,-2.055,2.016,0.008,0.005,20239,20083,20247,20282,
Beta5[29],0.015,1.096,-1.987,2.149,0.008,0.005,20187,20187,20189,19047,
Beta5[30],0.005,1.076,-1.956,2.054,0.008,0.005,19959,19471,19956,19087,
Beta5[31],-0.015,1.077,-2.062,1.962,0.008,0.006,19572,18667,19562,19212,
Beta5[32],-0.018,1.099,-2.055,2.051,0.008,0.006,19416,19416,19412,18918,
Beta5[33],-0.001,1.072,-2.034,1.996,0.008,0.005,20088,20088,20082,19920,
Beta5[34],-0.014,1.07,-2.022,1.995,0.008,0.005,19824,19638,19832,18978,
Beta5[35],-0.009,1.102,-2.074,2.074,0.008,0.005,20639,20078,20645,20477,
Beta5[36],0.022,1.081,-2.039,2.031,0.008,0.005,19584,19364,19576,19673,
Beta5[37],-0.023,1.078,-2.049,1.979,0.008,0.005,19724,19287,19724,19302,
Beta5[38],0.012,1.076,-2.084,1.965,0.008,0.005,20297,20287,20299,20251,
Beta5[39],-0.019,1.052,-1.977,1.986,0.008,0.005,19482,19482,19481,19785,
Beta6[0],0.03,1.078,-1.944,2.071,0.008,0.005,19932,19877,19927,18908,
Beta6[1],-0.006,1.063,-2.026,1.975,0.007,0.005,20264,19816,20296,19721,
Beta6[2],0.024,1.085,-1.901,2.161,0.008,0.005,19557,19557,19555,19837,
Beta6[3],-0.004,1.08,-2.008,2.037,0.008,0.006,18853,18853,18846,19130,
Beta6[4],-1.026,0.614,-2.164,0.139,0.004,0.003,19228,19228,19233,19243,
Beta6[5],-0.018,1.078,-2.094,1.951,0.008,0.005,20125,19478,20131,19797,
Beta6[6],-0.03,1.084,-2.08,1.958,0.008,0.005,20760,20288,20762,20091,
Beta6[7],-0.119,0.696,-1.451,1.171,0.005,0.004,19454,19454,19444,19876,
Beta6[8],0.014,1.091,-2.093,1.983,0.008,0.005,19831,19698,19832,18831,
Beta6[9],-0.006,1.063,-2.01,1.961,0.007,0.005,20106,19829,20125,19938,
Beta6[10],-0.031,1.073,-2.049,1.983,0.008,0.005,19638,19544,19646,19039,
Beta6[11],0.014,1.085,-2.074,2.014,0.008,0.005,19983,19983,19981,19672,
Beta6[12],0.013,1.069,-1.967,2.019,0.008,0.005,19893,19252,19900,19477,
Beta6[13],-0.017,1.074,-2.075,1.953,0.008,0.005,19441,19441,19436,20046,
Beta6[14],-0.019,1.055,-2.063,1.892,0.008,0.005,19352,18872,19347,19375,
Beta6[15],-0.02,1.07,-1.992,2.032,0.007,0.005,20462,19977,20466,20002,
Beta6[16],0.006,1.063,-2.012,2.003,0.008,0.005,19509,19509,19502,19763,
Beta6[17],-0.009,1.074,-1.97,2.065,0.008,0.005,20223,20223,20219,19711,
Beta6[18],-0.019,1.073,-2.122,1.913,0.008,0.005,19994,19787,19994,20137,
Beta6[19],-0.017,1.07,-1.989,1.988,0.008,0.005,20191,19596,20190,19673,
Beta6[20],0.013,1.07,-2.056,1.973,0.008,0.006,18794,18794,18793,19961,
Beta6[21],0.013,1.076,-1.99,2.05,0.008,0.006,19091,19091,19086,18507,
Beta6[22],0.009,1.087,-2.037,2.036,0.008,0.006,19540,19231,19543,19272,
Beta6[23],-0.003,1.071,-1.948,2.051,0.008,0.005,19538,19446,19542,19470,
Beta6[24],-0.001,1.089,-2.007,2.091,0.008,0.006,19654,19167,19641,18935,
Beta6[25],0.013,1.074,-1.968,2.072,0.008,0.006,18994,18994,18999,19743,
Beta6[26],-0.001,1.063,-1.931,2.059,0.007,0.005,20229,19961,20237,19668,
Beta6[27],-0.002,1.081,-2.064,1.967,0.008,0.006,18889,18889,18889,19105,
Beta6[28],0.001,1.088,-1.966,2.136,0.008,0.005,20372,19655,20374,20004,
Beta6[29],0.01,1.094,-2.082,2.009,0.008,0.005,19967,19886,19971,19380,
Beta6[30],0.003,1.072,-2.086,1.957,0.008,0.005,19835,19835,19833,19004,
Beta6[31],-0.021,1.071,-2.006,1.986,0.008,0.005,20035,20003,20037,19247,
Beta6[32],0.008,1.084,-2.033,2.054,0.008,0.006,19907,18907,19906,19428,
Beta6[33],0.005,1.093,-2.077,2.024,0.008,0.006,18982,18982,18995,19409,
Beta6[34],-0.001,1.067,-2.005,1.997,0.007,0.005,20445,20378,20447,19897,
Beta6[35],-0.026,1.087,-2.056,2,0.008,0.005,19857,19857,19853,19581,
Beta6[36],0.008,1.092,-1.954,2.153,0.008,0.006,20240,19551,20254,19315,
Beta6[37],-0.003,1.088,-2.093,1.994,0.008,0.006,19936,19428,19936,19384,
Beta6[38],0.002,1.088,-2.097,2.001,0.008,0.005,19665,19665,19671,19836,
Beta6[39],-0.012,1.075,-2.011,2.024,0.008,0.005,20019,19926,19985,20040,
Beta7[0],0.419,0.391,-0.316,1.146,0.003,0.002,19573,19479,19573,19626,
Beta7[1],1.218,0.627,-0.017,2.356,0.004,0.003,20033,20033,20032,18245,
Beta7[2],0.935,0.592,-0.146,2.084,0.004,0.003,18746,18746,18743,19203,
Beta7[3],-0.041,0.338,-0.683,0.58,0.002,0.002,20129,19949,20131,19129,
Beta7[4],-0.305,0.267,-0.805,0.196,0.002,0.001,19770,19770,19773,19651,
